model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_rate_actual,positive_rate_pred,true_negative,false_positive,false_negative,true_positive,train_rows,test_rows,train_week_min,train_week_max,test_week_min,test_week_max
HistGradientBoostingClassifier,time_based_test_last_8_weeks,0.5,0.9743055555555555,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.9841356673960613,0.8219629790936701,0.04791666666666667,0.04722222222222222,2706,36,38,100,15120,2880,2025-01-06,2025-10-20,2025-10-27,2025-12-15
HistGradientBoostingClassifier,time_based_test_last_8_weeks,0.4,0.9725694444444445,0.7006802721088435,0.7463768115942029,0.7228070175438597,0.9841356673960613,0.8219629790936701,0.04791666666666667,0.051041666666666666,2698,44,35,103,15120,2880,2025-01-06,2025-10-20,2025-10-27,2025-12-15
inventory_cover_stockout_rule_baseline,time_based_test_last_8_weeks,,0.9152777777777777,0.2809917355371901,0.4927536231884058,0.35789473684210527,0.7146481463863253,0.1627652513275043,0.04791666666666667,0.08402777777777778,2568,174,70,68,15120,2880,2025-01-06,2025-10-20,2025-10-27,2025-12-15
