model_name,split,mae,rmse,wape,bias,forecast_accuracy,train_rows,test_rows,train_week_min,train_week_max,test_week_min,test_week_max
HistGradientBoostingRegressor,time_based_test_last_8_weeks,2.947085374354337,4.257713061808668,0.3289004835364059,-0.005826888474444099,0.6710995164635941,15480,2880,2025-01-06,2025-10-27,2025-11-03,2025-12-22
sales_rolling_mean_4w_baseline,time_based_test_last_8_weeks,3.250954861111111,4.825368347338885,0.3628129117259552,-0.10163334108346896,0.6371870882740448,15480,2880,2025-01-06,2025-10-27,2025-11-03,2025-12-22
